location_flag	region	name	basis
52410450	Central Yharnam	Central Yharnam - Coldblood Dew (1) #5 (sewer side)	published (fixed_locations.tsv); replaced the "(Lot 2410450)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 後半 (m24_01_00_00)
52410470	Central Yharnam	Central Yharnam - Oil Urn x2 #2 (sewer side)	published (fixed_locations.tsv); replaced the "(Lot 2410470)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 後半 (m24_01_00_00)
52410480	Central Yharnam	Central Yharnam - Madman's Knowledge #2 (sewer side)	published (fixed_locations.tsv); replaced the "(Lot 2410480)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 後半 (m24_01_00_00)
52410490	Central Yharnam	Central Yharnam - Blood Stone Shard #6 (sewer side)	published (fixed_locations.tsv); replaced the "(Lot 2410490)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 後半 (m24_01_00_00)
52410510	Central Yharnam	Central Yharnam - Bold Hunter's Mark x2 (sewer side)	published (fixed_locations.tsv); replaced the "(Lot 2410510)" placeholder under the #75 rename; map m24_01; hint from lot tag 後半 (m24_01_00_00)
52410530	Central Yharnam	Central Yharnam - Coldblood Dew (1) #6 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410530)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410540	Central Yharnam	Central Yharnam - Blood Stone Shard #7 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410540)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410560	Central Yharnam	Central Yharnam - Quicksilver Bullets x5 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410560)" placeholder under the #75 rename; map m24_01; hint from lot tag 前半 (m24_01_00_00)
52410570	Central Yharnam	Central Yharnam - Molotov Cocktail x4 #2 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410570)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410580	Cathedral Ward	Cathedral Ward - Blood Gem #3 (chest)	map m24_00; category-8 blood gem (gem param 124001); specific gem name not in committed data; unestablished; hint from MSB in_chest
52410590	Central Yharnam	Central Yharnam - Molotov Cocktail x6 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410590)" placeholder under the #75 rename; map m24_01; hint from lot tag 前半 (m24_01_00_00)
52410600	Central Yharnam	Central Yharnam - Coldblood Dew (1) #7 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410600)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410620	Central Yharnam	Central Yharnam - Thick Coldblood (5) (sewer side)	published (fixed_locations.tsv); replaced the "(Lot 2410620)" placeholder under the #75 rename; map m24_01; hint from lot tag 後半 (m24_01_00_00)
52410630	Central Yharnam	Central Yharnam - Coldblood Dew (1) #8 (sewer side)	published (fixed_locations.tsv); replaced the "(Lot 2410630)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 後半 (m24_01_00_00)
52410640	Iosefka's Clinic	Iosefka's Clinic - Blood Gem (chest)	published (fixed_locations.tsv); replaced the "(Lot 2410640)" placeholder under the #75 rename; map m24_01; coordinates (-244,-41,190) at the MSB 診療所外 (outside the clinic) warp anchor; category-8 blood gem (gem param 102903); specific gem name not in committed data; hint from MSB in_chest
52410645	Iosefka's Clinic	Iosefka's Clinic - Madman's Knowledge (chest)	map m24_01; coordinates (-244,-41,190) at the MSB 診療所外 (outside the clinic) warp anchor; event tag 宝箱
52410650	Central Yharnam	Central Yharnam - Blood Stone Shard #8 (bridge side)	published (fixed_locations.tsv); replaced the "(Lot 2410650)" placeholder under the #75 rename; map m24_01; unestablished; hint from lot tag 前半 (m24_01_00_00)
52410800	Central Yharnam	Central Yharnam - Iosefka Courtyard Quicksilver Bullets x10 (bridge side)	published (fixed_locations.tsv); hint from lot tag 前半 (m24_01_00_00)
52410920	Central Yharnam	Central Yharnam - Red Jeweled Brooch	published (fixed_locations.tsv); replaced the "(Lot 2410920)" placeholder under the #75 rename; map m24_01
52411005	Central Yharnam	Central Yharnam - Kin Coldblood (12) (chest)	map m24_01; hint from MSB in_chest
52420110	Upper Cathedral Ward	Upper Cathedral Ward - Thick Coldblood (5)	map m24_02
52420120	Upper Cathedral Ward	Upper Cathedral Ward - Blood Gem	map m24_02; category-8 blood gem (gem param 101802); specific gem name not in committed data
52420125	Upper Cathedral Ward	Upper Cathedral Ward - Madman's Knowledge #1	map m24_02; unestablished
52420130	Upper Cathedral Ward	Upper Cathedral Ward - Frenzied Coldblood (9) #1	map m24_02; unestablished
52420140	Upper Cathedral Ward	Upper Cathedral Ward - Quicksilver Bullets x3	map m24_02
52420160	Upper Cathedral Ward	Upper Cathedral Ward - Twin Blood Stone Shards	map m24_02
52420170	Upper Cathedral Ward	Upper Cathedral Ward - Madman's Knowledge #2	map m24_02; unestablished
52420180	Upper Cathedral Ward	Upper Cathedral Ward - Blue Elixir #1	map m24_02; unestablished
52420200	Upper Cathedral Ward	Upper Cathedral Ward - Madman's Knowledge #3	map m24_02; unestablished
52420210	Upper Cathedral Ward	Upper Cathedral Ward - Madman's Knowledge #4	map m24_02; unestablished
52420220	Upper Cathedral Ward	Upper Cathedral Ward - Pearl Slug x2	map m24_02
52420240	Upper Cathedral Ward	Upper Cathedral Ward - Ritual Blood (5) x3	map m24_02
52420260	Upper Cathedral Ward	Upper Cathedral Ward - Tomb Mold (4)	map m24_02
52420285	Upper Cathedral Ward	Upper Cathedral Ward - Bold Hunter's Mark	map m24_02
52420300	Upper Cathedral Ward	Upper Cathedral Ward - Frenzied Coldblood (9) #2	map m24_02; unestablished
52420310	Upper Cathedral Ward	Upper Cathedral Ward - Blue Elixir #2	map m24_02; unestablished
52420560	Cathedral Ward	Cathedral Ward - Blood Stone Shard x5	map m24_00
52420570	Cathedral Ward	Cathedral Ward - Thick Coldblood (5) #3	map m24_00; unestablished
52420580	Cathedral Ward	Cathedral Ward - Thick Coldblood (5) #4	map m24_00; unestablished
52420590	Cathedral Ward	Cathedral Ward - Madman's Knowledge #7	map m24_00; unestablished
52420600	Cathedral Ward	Cathedral Ward - Twin Blood Stone Shards x2	map m24_00
52420610	Cathedral Ward	Cathedral Ward - Antidote	map m24_00
52420620	Cathedral Ward	Cathedral Ward - Madman's Knowledge #8	map m24_00; unestablished
52420630	Cathedral Ward	Cathedral Ward - Poison Knife x18	map m24_00
52420640	Cathedral Ward	Cathedral Ward - Blood Gem #4 (Grand Cathedral approach chest)	map m24_00; category-8 blood gem (gem param 102901); specific gem name not in committed data; unestablished; hint from lot tag 聖C前 (m24_00_00_00); hint from MSB in_chest
52420645	Cathedral Ward	Cathedral Ward - Madman's Knowledge #9 (Grand Cathedral approach chest)	map m24_00; unestablished; hint from lot tag 聖C前 (m24_00_00_00); hint from MSB in_chest
52420650	Cathedral Ward	Cathedral Ward - Blood Gem #5 (Grand Cathedral approach chest)	map m24_00; category-8 blood gem (gem param 124004); specific gem name not in committed data; unestablished; hint from lot tag 聖C前 (m24_00_00_00); hint from MSB in_chest
52420660	Cathedral Ward	Cathedral Ward - Madman's Knowledge #10 (Grand Cathedral approach)	map m24_00; unestablished; hint from lot tag 聖C前 (m24_00_00_00)
52420690	Cathedral Ward	Cathedral Ward - Blood Gem #6 (chest)	map m24_00; category-8 blood gem (gem param 103104); specific gem name not in committed data; unestablished; hint from MSB in_chest
52420695	Cathedral Ward	Cathedral Ward - Madman's Knowledge #11 (chest)	map m24_00; unestablished; hint from MSB in_chest
52420700	Cathedral Ward	Cathedral Ward - Frenzied Coldblood (7)	map m24_00
52420710	Cathedral Ward	Cathedral Ward - Twin Blood Stone Shards	map m24_00
52420720	Cathedral Ward	Cathedral Ward - Madman's Knowledge #12	map m24_00; unestablished
52420740	Cathedral Ward	Cathedral Ward - Blood Gem #7	map m24_00; category-8 blood gem (gem param 124000); specific gem name not in committed data; unestablished
52420750	Cathedral Ward	Cathedral Ward - Bold Hunter's Mark x3	map m24_00
52500100	Castle Cainhurst	Castle Cainhurst - Frenzied Coldblood (9) #1	map m25_00; unestablished
52500110	Castle Cainhurst	Castle Cainhurst - Numbing Mist x2	map m25_00
52500120	Castle Cainhurst	Castle Cainhurst - Numbing Mist x4 #1	map m25_00; unestablished
52500130	Castle Cainhurst	Castle Cainhurst - Numbing Mist x4 #2	map m25_00; unestablished
52500140	Castle Cainhurst	Castle Cainhurst - Frenzied Coldblood (8)	map m25_00
52500150	Castle Cainhurst	Castle Cainhurst - Frenzied Coldblood (9) #2	map m25_00; unestablished
52500180	Castle Cainhurst	Castle Cainhurst - Quicksilver Bullets x6 #1	map m25_00; unestablished
52500190	Castle Cainhurst	Castle Cainhurst - Kin Coldblood (10) #1	map m25_00; unestablished
52500200	Castle Cainhurst	Castle Cainhurst - Quicksilver Bullets x6 #2	map m25_00; unestablished
52500210	Castle Cainhurst	Castle Cainhurst - Madman's Knowledge #1	map m25_00; unestablished
52500220	Castle Cainhurst	Castle Cainhurst - Madman's Knowledge #2	map m25_00; unestablished
52500230	Castle Cainhurst	Castle Cainhurst - Blood Stone Chunk #1	map m25_00; unestablished
52500240	Castle Cainhurst	Castle Cainhurst - Quicksilver Bullets x4	map m25_00
52500260	Castle Cainhurst	Castle Cainhurst - Kin Coldblood (10) #2	map m25_00; unestablished
52500270	Castle Cainhurst	Castle Cainhurst - Bold Hunter's Mark x2	map m25_00
52501010	Castle Cainhurst	Castle Cainhurst - Blood Stone Chunk #2	map m25_00; unestablished
52501030	Castle Cainhurst	Castle Cainhurst - Blood Stone Chunk #3	map m25_00; unestablished
52501040	Castle Cainhurst	Castle Cainhurst - Blood Gem #1 (chest)	map m25_00; category-8 blood gem (gem param 125000); specific gem name not in committed data; unestablished; hint from MSB in_chest
52501060	Castle Cainhurst	Castle Cainhurst - Blood Gem #2	map m25_00; category-8 blood gem (gem param 125001); specific gem name not in committed data; unestablished
52600100	Nightmare of Mensis	Nightmare of Mensis - Shaman Bone Blade x6	map m26_00
52600110	Nightmare of Mensis	Nightmare of Mensis - Madman's Knowledge #1	map m26_00; unestablished
52600120	Nightmare of Mensis	Nightmare of Mensis - Great One's Wisdom #1	map m26_00; unestablished
52600130	Nightmare of Mensis	Nightmare of Mensis - Great One's Wisdom #2	map m26_00; unestablished
52600140	Nightmare of Mensis	Nightmare of Mensis - Great One's Wisdom #3	map m26_00; unestablished
52600150	Nightmare of Mensis	Nightmare of Mensis - Blood Gem #1	map m26_00; category-8 blood gem (gem param 126002); specific gem name not in committed data; unestablished
52600160	Nightmare of Mensis	Nightmare of Mensis - Great One's Wisdom #4	map m26_00; unestablished
52600170	Nightmare of Mensis	Nightmare of Mensis - Frenzied Coldblood (9) #1	map m26_00; unestablished
52600180	Nightmare of Mensis	Nightmare of Mensis - Frenzied Coldblood (9) #2	map m26_00; unestablished
52600190	Nightmare of Mensis	Nightmare of Mensis - Blood Vial x8 #1	map m26_00; unestablished
52600200	Nightmare of Mensis	Nightmare of Mensis - Blood Gem #2	map m26_00; category-8 blood gem (gem param 126003); specific gem name not in committed data; unestablished
52600210	Nightmare of Mensis	Nightmare of Mensis - Blood Stone Chunk #1	map m26_00; unestablished
52600220	Nightmare of Mensis	Nightmare of Mensis - Blood Gem #3	map m26_00; category-8 blood gem (gem param 126000); specific gem name not in committed data; unestablished
52600230	Nightmare of Mensis	Nightmare of Mensis - Quicksilver Bullets x6 #1	map m26_00; unestablished
52600240	Nightmare of Mensis	Nightmare of Mensis - Madman's Knowledge #2	map m26_00; unestablished
52600250	Nightmare of Mensis	Nightmare of Mensis - Lead Elixir x2	map m26_00
52600260	Nightmare of Mensis	Nightmare of Mensis - Frenzied Coldblood (8) #1	map m26_00; unestablished
52600270	Nightmare of Mensis	Nightmare of Mensis - Quicksilver Bullets x6 #2	map m26_00; unestablished
52600280	Nightmare of Mensis	Nightmare of Mensis - Blood Stone Chunk #2	map m26_00; unestablished
52600290	Nightmare of Mensis	Nightmare of Mensis - Frenzied Coldblood (9) #3	map m26_00; unestablished
52600300	Nightmare of Mensis	Nightmare of Mensis - Blood Gem #4	map m26_00; category-8 blood gem (gem param 100201); specific gem name not in committed data; unestablished
52600305	Nightmare of Mensis	Nightmare of Mensis - Madman's Knowledge #3	map m26_00; unestablished
52600310	Nightmare of Mensis	Nightmare of Mensis - Blood Stone Chunk #3	map m26_00; unestablished
52600320	Nightmare of Mensis	Nightmare of Mensis - Kin Coldblood (10) #1	map m26_00; unestablished
52600330	Nightmare of Mensis	Nightmare of Mensis - Frenzied Coldblood (9) #4	map m26_00; unestablished
52600340	Nightmare of Mensis	Nightmare of Mensis - Blue Elixir x2	map m26_00
52600350	Nightmare of Mensis	Nightmare of Mensis - Twin Blood Stone Shards x3	map m26_00
52600360	Nightmare of Mensis	Nightmare of Mensis - Kin Coldblood (10) #2	map m26_00; unestablished
52600370	Nightmare of Mensis	Nightmare of Mensis - Blood Vial x4	map m26_00
52600380	Nightmare of Mensis	Nightmare of Mensis - Sedative x3	map m26_00
52600390	Nightmare of Mensis	Nightmare of Mensis - Blood Gem #5	map m26_00; category-8 blood gem (gem param 100002); specific gem name not in committed data; unestablished
52600395	Nightmare of Mensis	Nightmare of Mensis - Madman's Knowledge #4	map m26_00; unestablished
52600400	Nightmare of Mensis	Nightmare of Mensis - Blood Vial x3	map m26_00
52600410	Nightmare of Mensis	Nightmare of Mensis - Kin Coldblood (10) #3	map m26_00; unestablished
52600420	Nightmare of Mensis	Nightmare of Mensis - Blood Stone Chunk x2 #1	map m26_00; unestablished
52600430	Nightmare of Mensis	Nightmare of Mensis - Frenzied Coldblood (8) #2	map m26_00; unestablished
52600440	Nightmare of Mensis	Nightmare of Mensis - Madman's Knowledge #5	map m26_00; unestablished
52600450	Nightmare of Mensis	Nightmare of Mensis - Blood Stone Chunk x2 #2	map m26_00; unestablished
52600460	Nightmare of Mensis	Nightmare of Mensis - Kin Coldblood (11) #1	map m26_00; unestablished
52600470	Nightmare of Mensis	Nightmare of Mensis - Kin Coldblood (11) #2	map m26_00; unestablished
52600480	Nightmare of Mensis	Nightmare of Mensis - Blood Gem #6	map m26_00; category-8 blood gem (gem param 126004); specific gem name not in committed data; unestablished
52600490	Nightmare of Mensis	Nightmare of Mensis - Blood Stone Chunk x2 #3	map m26_00; unestablished
52600500	Nightmare of Mensis	Nightmare of Mensis - Kin Coldblood (11) #3	map m26_00; unestablished
52600510	Nightmare of Mensis	Nightmare of Mensis - Blood Gem #7	map m26_00; category-8 blood gem (gem param 126001); specific gem name not in committed data; unestablished
52600520	Nightmare of Mensis	Nightmare of Mensis - Blood Stone Chunk x2 #4	map m26_00; unestablished
52600530	Nightmare of Mensis	Nightmare of Mensis - Blood Gem #8	map m26_00; category-8 blood gem (gem param 126000); specific gem name not in committed data; unestablished
52600540	Nightmare of Mensis	Nightmare of Mensis - Blood Rock	map m26_00
52600560	Nightmare of Mensis	Nightmare of Mensis - Blood Stone Chunk #4	map m26_00; unestablished
52600580	Nightmare of Mensis	Nightmare of Mensis - Blood Vial x8 #2	map m26_00; unestablished
52600590	Nightmare of Mensis	Nightmare of Mensis - Inflicted Organ (chest)	map m26_00; hint from MSB in_chest
52601010	Nightmare of Mensis	Nightmare of Mensis - Yellow Backbone x2 (chest)	map m26_00; hint from MSB in_chest
52700100	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards x3	map m27_00
52700110	Forbidden Woods	Forbidden Woods - Poison Knife x8	map m27_00
52700130	Forbidden Woods	Forbidden Woods - Madman's Knowledge #1	map m27_00; unestablished
52700140	Forbidden Woods	Forbidden Woods - Molotov Cocktail x11	map m27_00
52700170	Forbidden Woods	Forbidden Woods - Thick Coldblood (6) #1	map m27_00; unestablished
52700180	Forbidden Woods	Forbidden Woods - Blood Gem #1	map m27_00; category-8 blood gem (gem param 102001); specific gem name not in committed data; unestablished
52700185	Forbidden Woods	Forbidden Woods - Madman's Knowledge #2	map m27_00; unestablished
52700190	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards #1	map m27_00; unestablished
52700200	Forbidden Woods	Forbidden Woods - Blood Gem #2	map m27_00; category-8 blood gem (gem param 101601); specific gem name not in committed data; unestablished
52700205	Forbidden Woods	Forbidden Woods - Madman's Knowledge #3	map m27_00; unestablished
52700210	Forbidden Woods	Forbidden Woods - Madman's Knowledge #4	map m27_00; unestablished
52700220	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards #2	map m27_00; unestablished
52700230	Forbidden Woods	Forbidden Woods - Frenzied Coldblood (8)	map m27_00
52700240	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards #3	map m27_00; unestablished
52700250	Forbidden Woods	Forbidden Woods - Madman's Knowledge #5	map m27_00; unestablished
52700260	Forbidden Woods	Forbidden Woods - Madman's Knowledge #6	map m27_00; unestablished
52700270	Forbidden Woods	Forbidden Woods - Madman's Knowledge #7	map m27_00; unestablished
52700290	Forbidden Woods	Forbidden Woods - Madman's Knowledge #8	map m27_00; unestablished
52700300	Forbidden Woods	Forbidden Woods - Blood Gem #3	map m27_00; category-8 blood gem (gem param 127001); specific gem name not in committed data; unestablished
52700310	Forbidden Woods	Forbidden Woods - Frenzied Coldblood (7) #1	map m27_00; unestablished
52700320	Forbidden Woods	Forbidden Woods - Blood Vial x6 #1	map m27_00; unestablished
52700330	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards #4	map m27_00; unestablished
52700340	Forbidden Woods	Forbidden Woods - Antidote x3	map m27_00
52700350	Forbidden Woods	Forbidden Woods - Antidote x4 #1	map m27_00; unestablished
52700360	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards x2 #1	map m27_00; unestablished
52700370	Forbidden Woods	Forbidden Woods - Blood Stone Chunk	map m27_00
52700380	Forbidden Woods	Forbidden Woods - Blood Gem #4	map m27_00; category-8 blood gem (gem param 100401); specific gem name not in committed data; unestablished
52700385	Forbidden Woods	Forbidden Woods - Madman's Knowledge #9	map m27_00; unestablished
52700390	Forbidden Woods	Forbidden Woods - Poison Knife x3	map m27_00
52700400	Forbidden Woods	Forbidden Woods - Beast Blood Pellet x6	map m27_00
52700420	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards x2 #2	map m27_00; unestablished
52700430	Forbidden Woods	Forbidden Woods - Shining Coins x5	map m27_00
52700440	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards #5	map m27_00; unestablished
52700450	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards #6	map m27_00; unestablished
52700460	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards x2 #3	map m27_00; unestablished
52700470	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards #7	map m27_00; unestablished
52700490	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards x2 #4	map m27_00; unestablished
52700500	Forbidden Woods	Forbidden Woods - Frenzied Coldblood (7) #2	map m27_00; unestablished
52700510	Forbidden Woods	Forbidden Woods - Quicksilver Bullets x6	map m27_00
52700520	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards #8	map m27_00; unestablished
52700540	Forbidden Woods	Forbidden Woods - Blood Gem #5	map m27_00; category-8 blood gem (gem param 102202); specific gem name not in committed data; unestablished
52700545	Forbidden Woods	Forbidden Woods - Madman's Knowledge #10	map m27_00; unestablished
52700550	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards #9	map m27_00; unestablished
52700570	Forbidden Woods	Forbidden Woods - Blood Gem #6	map m27_00; category-8 blood gem (gem param 100301); specific gem name not in committed data; unestablished
52700575	Forbidden Woods	Forbidden Woods - Madman's Knowledge #11	map m27_00; unestablished
52700580	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards #10	map m27_00; unestablished
52700590	Forbidden Woods	Forbidden Woods - Beast Blood Pellet x3	map m27_00
52700600	Forbidden Woods	Forbidden Woods - Thick Coldblood (6) #2	map m27_00; unestablished
52700610	Forbidden Woods	Forbidden Woods - Blood Vial x2	map m27_00
52700640	Forbidden Woods	Forbidden Woods - Blood Vial x6 #2	map m27_00; unestablished
52700650	Forbidden Woods	Forbidden Woods - Blood Gem #7	map m27_00; category-8 blood gem (gem param 127003); specific gem name not in committed data; unestablished
52700660	Forbidden Woods	Forbidden Woods - Blood Gem #8	map m27_00; category-8 blood gem (gem param 127004); specific gem name not in committed data; unestablished
52700670	Forbidden Woods	Forbidden Woods - Frenzied Coldblood (7) #3	map m27_00; unestablished
52700690	Forbidden Woods	Forbidden Woods - Blood Gem #9	map m27_00; category-8 blood gem (gem param 127002); specific gem name not in committed data; unestablished
52700700	Forbidden Woods	Forbidden Woods - Blood Gem #10	map m27_00; category-8 blood gem (gem param 127000); specific gem name not in committed data; unestablished
52700720	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards #11	map m27_00; unestablished
52700740	Forbidden Woods	Forbidden Woods - Frenzied Coldblood (7) #4	map m27_00; unestablished
52700750	Forbidden Woods	Forbidden Woods - Shining Coins x6	map m27_00
52700760	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards #12	map m27_00; unestablished
52700770	Forbidden Woods	Forbidden Woods - Thick Coldblood (6) #3	map m27_00; unestablished
52700780	Forbidden Woods	Forbidden Woods - Antidote x4 #2	map m27_00; unestablished
52700790	Forbidden Woods	Forbidden Woods - Quicksilver Bullets x10	map m27_00
52700810	Forbidden Woods	Forbidden Woods - Pebble x2	map m27_00
52700860	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards #13	map m27_00; unestablished
52700870	Forbidden Woods	Forbidden Woods - Thick Coldblood (6) #4	map m27_00; unestablished
52700880	Forbidden Woods	Forbidden Woods - Blood Vial x5	map m27_00
52700890	Forbidden Woods	Forbidden Woods - Blue Elixir x4	map m27_00
52700900	Forbidden Woods	Forbidden Woods - Pungent Blood Cocktail x3	map m27_00
52700910	Forbidden Woods	Forbidden Woods - Pungent Blood Cocktail x4	map m27_00
52700920	Forbidden Woods	Forbidden Woods - Beast Blood Pellet x4	map m27_00
52700930	Forbidden Woods	Forbidden Woods - Frenzied Coldblood (7) #5	map m27_00; unestablished
52700940	Forbidden Woods	Forbidden Woods - Madman's Knowledge #12	map m27_00; unestablished
52700945	Forbidden Woods	Forbidden Woods - Antidote x2	map m27_00
52700960	Forbidden Woods	Forbidden Woods - Twin Blood Stone Shards x2 #5	map m27_00; unestablished
52800000	Yahar'gul	Yahar'gul - Frenzied Coldblood (8) #1	map m28_00; unestablished
52800010	Yahar'gul	Yahar'gul - Blood Stone Chunk #1	map m28_00; unestablished
52800020	Yahar'gul	Yahar'gul - Blood Gem #1	map m28_00; category-8 blood gem (gem param 128000); specific gem name not in committed data; unestablished
52800030	Yahar'gul	Yahar'gul - Bolt Paper x3	map m28_00
52800040	Yahar'gul	Yahar'gul - Frenzied Coldblood (8) #2	map m28_00; unestablished
52800050	Yahar'gul	Yahar'gul - Blood Gem #2	map m28_00; category-8 blood gem (gem param 100802); specific gem name not in committed data; unestablished
52800055	Yahar'gul	Yahar'gul - Madman's Knowledge #1	map m28_00; unestablished
52800060	Yahar'gul	Yahar'gul - Frenzied Coldblood (8) #3	map m28_00; unestablished
52800070	Yahar'gul	Yahar'gul - Frenzied Coldblood (8) #4	map m28_00; unestablished
52800080	Yahar'gul	Yahar'gul - Blood Vial x8	map m28_00
52800090	Yahar'gul	Yahar'gul - Frenzied Coldblood (9)	map m28_00
52800110	Yahar'gul	Yahar'gul - Blood Stone Chunk #2	map m28_00; unestablished
52800120	Yahar'gul	Yahar'gul - Frenzied Coldblood (8) #5	map m28_00; unestablished
52800130	Yahar'gul	Yahar'gul - Blood Vial x6 #1	map m28_00; unestablished
52800140	Yahar'gul	Yahar'gul - Blood Gem #3	map m28_00; category-8 blood gem (gem param 101301); specific gem name not in committed data; unestablished
52800145	Yahar'gul	Yahar'gul - Madman's Knowledge #2	map m28_00; unestablished
52800150	Yahar'gul	Yahar'gul - Madman's Knowledge #3	map m28_00; unestablished
52800160	Yahar'gul	Yahar'gul - Madman's Knowledge #4	map m28_00; unestablished
52800170	Yahar'gul	Yahar'gul - Quicksilver Bullets x10 and Frenzied Coldblood (7)	map m28_00
52800180	Yahar'gul	Yahar'gul - Quicksilver Bullets x10 #1	map m28_00; unestablished
52800210	Yahar'gul	Yahar'gul - Blood Stone Chunk #3	map m28_00; unestablished
52800300	Yahar'gul	Yahar'gul - Pungent Blood Cocktail	map m28_00
52800310	Yahar'gul	Yahar'gul - Twin Blood Stone Shards	map m28_00
52800340	Yahar'gul	Yahar'gul - Bolt Paper x5	map m28_00
52800350	Yahar'gul	Yahar'gul - Blood Gem #4	map m28_00; category-8 blood gem (gem param 100001); specific gem name not in committed data; unestablished
52800355	Yahar'gul	Yahar'gul - Madman's Knowledge #5	map m28_00; unestablished
52800360	Yahar'gul	Yahar'gul - Pungent Blood Cocktail x3	map m28_00
52800380	Yahar'gul	Yahar'gul - Frenzied Coldblood (8) #6	map m28_00; unestablished
52800400	Yahar'gul	Yahar'gul - Blood Stone Chunk x2 #1	map m28_00; unestablished
52800410	Yahar'gul	Yahar'gul - Blood Stone Chunk x2 #2	map m28_00; unestablished
52800420	Yahar'gul	Yahar'gul - Frenzied Coldblood (7) #1	map m28_00; unestablished
52800430	Yahar'gul	Yahar'gul - Frenzied Coldblood (7) #2	map m28_00; unestablished
52800440	Yahar'gul	Yahar'gul - Blood Stone Chunk x2 #3	map m28_00; unestablished
52800450	Yahar'gul	Yahar'gul - Blood Stone Chunk x2 #4	map m28_00; unestablished
52800530	Yahar'gul	Yahar'gul - Blood Gem #5 (chest)	map m28_00; category-8 blood gem (gem param 228001); specific gem name not in committed data; unestablished; hint from MSB in_chest
52800620	Yahar'gul	Yahar'gul - Madman's Knowledge #6	map m28_00; unestablished
52800630	Yahar'gul	Yahar'gul - Frenzied Coldblood (7) #3	map m28_00; unestablished
52800640	Yahar'gul	Yahar'gul - Thick Coldblood (6)	map m28_00
52800650	Yahar'gul	Yahar'gul - Blood Vial x6 #2	map m28_00; unestablished
52800660	Yahar'gul	Yahar'gul - Quicksilver Bullets x10 #2	map m28_00; unestablished
52800670	Yahar'gul	Yahar'gul - Lead Elixir x3	map m28_00
52800680	Yahar'gul	Yahar'gul - Frenzied Coldblood (8) #7	map m28_00; unestablished
52800690	Yahar'gul	Yahar'gul - Madman's Knowledge #7	map m28_00; unestablished
52800700	Yahar'gul	Yahar'gul - Madman's Knowledge #8	map m28_00; unestablished
52800710	Yahar'gul	Yahar'gul - Blood Gem #6	map m28_00; category-8 blood gem (gem param 132000); specific gem name not in committed data; unestablished
53200000	Lecture Building 1F	Lecture Building 1F - Madman's Knowledge #1	map m32_00; floor from Y coordinate -185.56 (tagged 1F rows sit at -184.9..-187.2); no floor in event tag; unestablished
53200010	Lecture Building 2F	Lecture Building 2F - Blood Gem (corpse)	map m32_00; floor from Y coordinate -179.19 (tagged 2F rows sit at -176.2..-177.3); no floor in event tag; category-8 blood gem (gem param 101302); specific gem name not in committed data; event tag 宝死体
53200015	Lecture Building 2F	Lecture Building 2F - Madman's Knowledge (corpse)	map m32_00; floor from Y coordinate -179.19 (tagged 2F rows sit at -176.2..-177.3); no floor in event tag; event tag 宝死体
53200020	Lecture Building 1F	Lecture Building 1F - Madman's Knowledge #2	map m32_00; floor from Y coordinate -186.93 (tagged 1F rows sit at -184.9..-187.2); no floor in event tag; unestablished
53200030	Lecture Building 1F	Lecture Building 1F - Great One's Wisdom	map m32_00; floor from Y coordinate -186.96 (tagged 1F rows sit at -184.9..-187.2); no floor in event tag
53200040	Lecture Building 1F	Lecture Building 1F - Sedative x5	map m32_00; floor from Y coordinate -187.16 (tagged 1F rows sit at -184.9..-187.2); no floor in event tag
